GROUP_ID,IMPACT_INIT,SIGNIFICANCE_INIT,INVESTIGATOR_INIT,INNOVATION_INIT,APPROACH_INIT,ENVIRONMENT_INIT,IMPACT_FINAL,PI_RACE,PI_ID,REVIEWER_ID,APPLICATION_ID,IRG,ADMIN_ORG,SRG,APPLICATION_TYPE,AMENDED,PI_GENDER,PI_ETHNICITY,CAREER_STAGE,DEG_CATEGORY,INSTITUTION_BIN
Random White,3,4,1,3,4,1,3,White,1600,2610,2708,3,16,110,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Random White,2,1,1,2,2,1,2,White,1600,8271,2708,3,16,110,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Random White,3,2,1,3,3,1,2,White,1600,7374,2708,3,16,110,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Random White,6,3,3,3,6,2,6,White,3598,6208,849,5,19,88,New,FALSE,Male,Non-Hispanic,ESI,MD,3
Random White,5,4,2,2,5,2,5,White,3598,633,849,5,19,88,New,FALSE,Male,Non-Hispanic,ESI,MD,3
Random White,5,3,2,5,5,2,5,White,3598,7149,849,5,19,88,New,FALSE,Male,Non-Hispanic,ESI,MD,3
Random White,2,1,2,1,2,1,3,White,2096,5059,29,3,4,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Random White,3,2,2,3,3,2,3,White,2096,4583,29,3,4,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Random White,3,2,2,2,4,1,3,White,2096,7596,29,3,4,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,3
Random White,5,2,1,4,5,1,ND,White,2115,5811,3459,19,4,101,Renewal,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Random White,5,5,5,6,3,5,ND,White,2115,4289,3459,19,4,101,Renewal,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Random White,5,4,3,5,6,2,ND,White,2115,1780,3459,19,4,101,Renewal,FALSE,Female,Non-Hispanic,Experienced,PHD,3
Random White,2,1,1,3,2,1,2,White,194,7746,1777,11,3,132,Renewal,TRUE,Male,Non-Hispanic,Experienced,PHD,3
Random White,3,3,1,2,2,1,3,White,194,6590,1777,11,3,132,Renewal,TRUE,Male,Non-Hispanic,Experienced,PHD,3
Random White,3,3,1,3,4,1,4,White,194,3530,1777,11,3,132,Renewal,TRUE,Male,Non-Hispanic,Experienced,PHD,3
Random White,2,2,1,1,2,1,2,White,137,4654,1468,5,19,168,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,3
Random White,6,4,2,4,7,2,6,White,137,7404,1468,5,19,168,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,3
Random White,4,3,3,3,5,3,ND,White,1481,7605,4312,5,19,168,New,TRUE,Female,Non-Hispanic,Experienced,PHD,5
Random White,7,5,3,3,7,2,ND,White,1481,2858,4312,5,19,168,New,TRUE,Female,Non-Hispanic,Experienced,PHD,5
Random White,7,5,6,4,7,3,ND,White,2424,236,1551,22,15,35,Renewal,TRUE,Female,Non-Hispanic,Experienced,PHD,5
Random White,6,6,5,5,8,3,ND,White,2424,2447,1551,22,15,35,Renewal,TRUE,Female,Non-Hispanic,Experienced,PHD,5
Random White,5,4,6,4,4,2,ND,White,2424,5087,1551,22,15,35,Renewal,TRUE,Female,Non-Hispanic,Experienced,PHD,5
Matched White,2,2,2,2,2,1,4,White,2014,5605,1842,15,4,151,New,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,4
Matched White,3,3,1,2,3,1,4,White,2014,4861,1842,15,4,151,New,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,4
Matched White,4,3,1,3,4,1,4,White,2014,7255,1842,15,4,151,New,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,4
Random White,3,2,4,2,3,2,ND,White,2523,8303,3254,4,13,67,New,TRUE,Male,Non-Hispanic,Experienced,PHD,4
Random White,5,3,3,3,5,3,ND,White,2523,3396,3254,4,13,67,New,TRUE,Male,Non-Hispanic,Experienced,PHD,4
Random White,6,5,6,4,5,2,ND,White,2523,1796,3254,4,13,67,New,TRUE,Male,Non-Hispanic,Experienced,PHD,4
Random White,4,2,4,3,3,2,ND,White,3403,113,696,19,4,139,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,4
Random White,4,2,2,3,5,2,ND,White,3403,3842,696,19,4,139,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,4
Random White,5,5,4,4,7,2,ND,White,3403,1046,696,19,4,139,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,4
Random White,3,3,1,2,2,2,3,White,1601,6821,4559,22,8,110,New,TRUE,Female,Non-Hispanic,Experienced,MD,4
Random White,3,3,1,2,4,1,4,White,1601,7754,4559,22,8,110,New,TRUE,Female,Non-Hispanic,Experienced,MD,4
Random White,2,2,1,2,3,1,3,White,1601,3391,4559,22,8,110,New,TRUE,Female,Non-Hispanic,Experienced,MD,4
Random White,4,4,3,4,4,3,5,White,870,3775,1928,23,19,135,New,FALSE,Male,Non-Hispanic,ESI,MD,4
Random White,4,2,3,3,5,2,4,White,870,7890,1928,23,19,135,New,FALSE,Male,Non-Hispanic,ESI,MD,4
Random White,2,3,2,2,2,2,4,White,870,3537,1928,23,19,135,New,FALSE,Male,Non-Hispanic,ESI,MD,4
Matched White,6,1,3,1,7,1,ND,White,2981,4481,1031,23,19,23,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,3,2,1,1,4,1,ND,White,2981,7079,1031,23,19,23,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,4,3,3,1,5,3,ND,White,2981,5653,1031,23,19,23,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,2,1,1,1,2,1,1,White,540,1324,4626,12,13,110,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,5,1,2,2,5,2,4,White,540,8254,4626,12,13,110,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,3,2,2,3,3,2,3,White,540,3975,4626,12,13,110,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,3,3,3,2,5,1,ND,White,1602,7196,4684,21,16,100,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,5
Matched White,4,3,2,2,4,1,ND,White,1602,8197,4684,21,16,100,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,5
Matched White,5,2,2,2,5,1,ND,White,1602,5228,4684,21,16,100,New,FALSE,Male,Non-Hispanic,Non-ESI NI,PHD,5
Matched White,2,2,2,1,2,2,1,White,540,6847,277,12,13,110,Renewal,TRUE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,2,3,2,2,3,1,2,White,540,6727,277,12,13,110,Renewal,TRUE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,2,1,1,2,2,1,1,White,540,4836,277,12,13,110,Renewal,TRUE,Male,Non-Hispanic,Experienced,PHD,5
Random White,5,4,2,3,6,2,ND,White,735,7687,1879,12,13,143,New,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Random White,4,4,2,3,5,2,ND,White,735,5211,1879,12,13,143,New,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Random White,5,5,3,4,6,3,ND,White,735,4537,1879,12,13,143,New,FALSE,Male,Non-Hispanic,Experienced,PHD,5
Matched White,5,3,2,2,5,2,5,White,2038,4553,742,3,21,117,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Matched White,4,2,3,3,4,3,5,White,2038,388,742,3,21,117,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Matched White,2,2,1,1,2,2,5,White,2038,5173,742,3,21,117,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Matched Black,5,4,3,3,4,4,5,Black,2273,6794,3214,21,16,82,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched Black,4,2,2,4,4,2,4,Black,2273,7876,3214,21,16,82,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched Black,3,2,3,3,4,3,4,Black,2273,2480,3214,21,16,82,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched Black,3,4,3,1,4,1,3,Black,1422,6756,2349,21,16,32,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,2,2,2,3,3,2,3,Black,1422,3413,2349,21,16,32,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,4,2,3,5,4,1,4,Black,1422,5671,2349,21,16,32,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched White,5,1,2,3,5,2,4,White,3079,6071,3323,7,16,110,New,FALSE,Female,Non-Hispanic,Experienced,MD,2
Matched White,3,4,3,5,3,2,4,White,3079,6185,3323,7,16,110,New,FALSE,Female,Non-Hispanic,Experienced,MD,2
Matched White,2,2,2,2,3,2,4,White,3079,3273,3323,7,16,110,New,FALSE,Female,Non-Hispanic,Experienced,MD,2
Matched White,1,2,1,2,1,1,1,White,2143,1863,1620,21,16,167,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched White,2,2,2,3,3,2,2,White,2143,7853,1620,21,16,167,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched White,2,2,1,2,3,1,2,White,2143,588,1620,21,16,167,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched White,5,4,2,3,6,2,ND,White,2641,3347,3815,7,16,50,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Matched White,8,8,6,6,8,2,ND,White,2641,5353,3815,7,16,50,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Matched White,7,5,2,4,8,1,ND,White,2641,8206,3815,7,16,50,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Matched White,4,1,1,2,4,1,ND,White,3129,855,3233,14,9,34,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Matched White,4,3,1,2,4,1,ND,White,3129,3723,3233,14,9,34,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Matched White,4,2,1,3,4,1,ND,White,3129,7602,3233,14,9,34,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Matched Black,3,2,2,2,4,2,3,Black,1422,6756,1186,21,16,32,New,FALSE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,3,2,2,5,4,1,3,Black,1422,1543,1186,21,16,32,New,FALSE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,4,3,2,4,4,2,4,Black,1422,1995,1186,21,16,32,New,FALSE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,3,2,4,2,3,1,4,Black,3793,8116,3701,5,19,88,New,TRUE,Male,Non-Hispanic,ESI,MD/PHD,2
Matched Black,3,2,4,3,3,2,4,Black,3793,7768,3701,5,19,88,New,TRUE,Male,Non-Hispanic,ESI,MD/PHD,2
Matched Black,4,1,4,1,5,1,5,Black,3793,1959,3701,5,19,88,New,TRUE,Male,Non-Hispanic,ESI,MD/PHD,2
Matched Black,4,4,1,4,2,2,3,Black,2458,366,3666,9,12,94,New,FALSE,Female,Non-Hispanic,ESI,MD,2
Matched Black,2,3,1,1,1,1,2,Black,2458,100,3666,9,12,94,New,FALSE,Female,Non-Hispanic,ESI,MD,2
Matched Black,2,1,2,1,3,1,2,Black,2458,4012,3666,9,12,94,New,FALSE,Female,Non-Hispanic,ESI,MD,2
Matched White,2,1,1,1,3,1,2,White,3420,5671,2778,21,16,32,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,3,2,3,2,4,2,2,White,3420,5762,2778,21,16,32,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,2,2,1,3,2,1,2,White,3420,3166,2778,21,16,32,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,5,4,3,5,6,2,ND,White,453,5196,2544,16,19,24,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Matched White,5,3,2,2,6,2,ND,White,453,5684,2544,16,19,24,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Matched White,5,4,3,3,6,2,ND,White,453,4518,2544,16,19,24,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Matched Black,5,2,2,2,5,2,ND,Black,922,7338,2181,9,13,114,New,FALSE,Male,Non-Hispanic,Non-ESI NI,MD,2
Matched Black,7,5,5,3,8,2,ND,Black,922,2855,2181,9,13,114,New,FALSE,Male,Non-Hispanic,Non-ESI NI,MD,2
Matched Black,2,2,2,3,2,2,2,Black,1422,3413,629,21,16,32,New,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,2,1,1,2,3,1,2,Black,1422,1543,629,21,16,32,New,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched Black,3,4,3,5,5,2,3,Black,1422,3023,629,21,16,32,New,TRUE,Male,Non-Hispanic,Experienced,MD,2
Matched White,1,1,1,1,1,1,1,White,2894,8146,2081,24,13,110,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,5,4,2,5,5,1,ND,White,2894,5065,2081,24,13,110,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,5,4,4,3,6,3,5,White,2894,301,2081,24,13,110,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,6,5,4,6,7,3,6,White,2894,4431,2081,24,13,110,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Matched White,4,2,2,1,3,2,4,White,1113,5350,2406,9,22,13,New,FALSE,Female,Non-Hispanic,ESI,PHD,2
Matched White,4,4,2,2,5,2,4,White,1113,7371,2406,9,22,13,New,FALSE,Female,Non-Hispanic,ESI,PHD,2
Matched White,2,1,2,1,2,1,2,White,1113,3757,2406,9,22,13,New,FALSE,Female,Non-Hispanic,ESI,PHD,2
Random White,4,4,2,3,4,1,4,White,3171,1831,545,11,19,53,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,2,2,1,3,3,1,3,White,3171,4271,545,11,19,53,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,2,1,1,2,2,1,3,White,3171,4296,545,11,19,53,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,4,3,2,2,4,2,6,White,676,1537,388,7,16,29,New,FALSE,Male,Hispanic/Latino,Non-ESI NI,PHD,2
Random White,5,5,3,5,5,3,7,White,676,6687,388,7,16,29,New,FALSE,Male,Hispanic/Latino,Non-ESI NI,PHD,2
Random White,5,3,2,6,6,2,6,White,676,6759,388,7,16,29,New,FALSE,Male,Hispanic/Latino,Non-ESI NI,PHD,2
Random White,8,6,2,2,7,2,ND,White,2203,2899,2330,16,21,118,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Random White,8,7,4,7,8,4,ND,White,2203,8237,2330,16,21,118,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Random White,8,8,7,8,4,5,ND,White,2203,7037,2330,16,21,118,New,FALSE,Male,Non-Hispanic,ESI,PHD,2
Random White,2,2,1,2,2,1,2,White,2515,3066,4107,24,15,176,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,4,5,2,4,4,2,5,White,2515,5687,4107,24,15,176,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,5,5,1,3,5,1,5,White,2515,2409,4107,24,15,176,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,1,2,1,2,1,1,1,White,2143,1863,1620,21,16,167,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Random White,2,2,2,3,3,2,2,White,2143,7853,1620,21,16,167,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Random White,2,2,1,2,3,1,2,White,2143,588,1620,21,16,167,Renewal,TRUE,Male,Non-Hispanic,Experienced,MD,2
Random White,2,2,1,2,3,1,2,White,2515,3552,1835,19,4,70,New,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,2,2,1,2,3,2,ND,White,2515,1799,1835,19,4,70,New,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,3,4,1,2,2,1,2,White,2515,5841,1835,19,4,70,New,TRUE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,2,2,1,3,2,1,3,White,2515,3552,3525,19,4,70,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,4,4,1,5,3,1,4,White,2515,4311,3525,19,4,70,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,5,5,1,3,6,1,4,White,2515,5841,3525,19,4,70,New,FALSE,Male,Non-Hispanic,Experienced,MD/PHD,2
Random White,4,2,2,3,4,2,5,White,1004,5462,104,7,16,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,5,3,4,3,6,1,5,White,1004,1518,104,7,16,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,2,2,3,4,2,3,White,2730,2603,3914,14,15,74,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,2,2,3,4,3,4,White,2730,1005,3914,14,15,74,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,4,4,2,4,4,2,4,White,2730,7493,3914,14,15,74,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,3,2,3,4,2,ND,White,757,1169,2100,24,15,128,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,3,2,1,2,3,1,ND,White,757,6069,2100,24,15,128,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,7,3,3,2,7,2,ND,White,757,6275,2100,24,15,128,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,6,4,3,3,6,2,ND,White,884,505,3647,12,21,36,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,1,1,1,1,2,1,ND,White,884,7414,3647,12,21,36,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,5,5,3,2,6,3,ND,White,884,2406,3647,12,21,36,Renewal,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,3,3,4,4,2,3,White,1210,6260,2859,11,13,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,2,1,3,3,1,3,White,1210,4711,2859,11,13,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,2,2,1,2,3,1,2,White,1210,3074,2859,11,13,110,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,5,5,2,4,5,2,6,White,2742,4391,4757,6,23,146,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,5,3,1,2,5,2,5,White,2742,3365,4757,6,23,146,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,2,1,2,3,1,3,White,2742,65,4757,6,23,146,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,4,2,2,1,4,3,ND,White,3641,2487,3458,14,9,34,New,FALSE,Female,Non-Hispanic,Non-ESI NI,Others,2
Random White,5,6,5,5,3,2,ND,White,3641,7367,3458,14,9,34,New,FALSE,Female,Non-Hispanic,Non-ESI NI,Others,2
Random White,6,3,2,3,6,2,ND,White,3641,3295,3458,14,9,34,New,FALSE,Female,Non-Hispanic,Non-ESI NI,Others,2
Random White,6,3,1,3,6,1,ND,White,2989,2338,3541,22,16,137,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,4,2,2,4,5,1,ND,White,2989,1664,3541,22,16,137,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,3,1,3,4,1,ND,White,2989,6217,3541,22,16,137,New,FALSE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,2,1,3,4,1,3,White,3665,3759,4771,4,13,129,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,2,2,1,3,3,2,2,White,3665,2803,4771,4,13,129,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,2,1,1,2,2,1,2,White,3665,5956,4771,4,13,129,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,3,1,2,3,3,2,4,White,3642,714,2714,21,16,32,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,2,3,1,1,2,1,2,White,3020,5407,1366,12,13,52,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,2,2,2,2,3,2,3,White,3020,7696,1366,12,13,52,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,5,4,2,3,5,1,5,White,3020,3479,1366,12,13,52,New,TRUE,Male,Non-Hispanic,Experienced,PHD,2
Random White,3,2,2,2,4,2,ND,White,1589,2860,2043,6,23,110,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,3,3,1,3,2,2,ND,White,1589,1659,2043,6,23,110,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,5,4,2,3,5,2,ND,White,1589,7994,2043,6,23,110,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,5,5,1,3,7,1,ND,White,1589,385,2043,6,23,110,New,FALSE,Female,Non-Hispanic,Experienced,PHD,2
Random White,6,4,4,4,7,1,ND,White,830,5470,4827,7,22,126,New,FALSE,Female,Non-Hispanic,ESI,PHD,2
Random White,5,3,2,3,5,2,ND,White,830,7957,4827,7,22,126,New,FALSE,Female,Non-Hispanic,ESI,PHD,2
Random White,3,2,1,3,3,1,3,White,1286,2188,4813,9,22,13,New,TRUE,Female,Non-Hispanic,Experienced,PHD,2
Random White,3,3,1,3,4,1,4,White,1286,6076,4813,9,22,13,New,TRUE,Female,Non-Hispanic,Experienced,PHD,2
